id,label,kind,layer,ideology,magnitude,ein,source_url,notes,logo,country,slices,n_slices
atc,ATC — Asociación de Trabajadores del Campo,org,state,state,,,https://afgj.org/nicanotes-atc-defending-rural-workers-since-the-1970s,Sandinista-aligned rural workers' union; host of Friends-of-the-ATC delegations,atc.png,Nicaragua,latam-solidarity,1
baker_carolyn,Carolyn Baker,person,party,,4,,https://universityofthepoor.org/revolutionary-education-in-detroit/,"Executive Director, General Baker Institute (GBI); daughter of General Baker.",,,singham-spine,1
baker_gordon,General Gordon Baker Jr.,person,party,,3,,https://en.wikipedia.org/wiki/General_Baker,Co-founder; Member of foreign influence network.,,,singham-spine,1
balagun,Kazembe Balagun,person,money,,2,,https://rosalux.nyc/author/kazembebalagun/,"Project Manager North America/UN, RLS-NYC; formerly Education Coordinator at the Brecht Forum",,,rls-germany,1
bap,Black Alliance for Peace,org,veneer,panafrican,16.8,,https://blackallianceforpeace.com/,"Co-sponsored AFGJ July 2021 Nicaragua delegation; VZ solidarity statements || us_501c3_active; report §V-VI, VII. Allied to NNOC — built the militarization-site map (~1,335 US military commands) that NNOC's 2026 Rapid Response Plan di",bap.png,US,latam-solidarity|rubio-cuba,2
baptist,William Willie Baptist Jr.,person,party,,6,,https://peoplesforum.org/instructor/willie-baptist/,"People's Forum instructor; veteran poverty organizer — lead organizer, National Union of the Homeless; Education Director, Kensington Welfare Rights Union; lead organizer/educator, Poor People's Economic Human Rights Campaign; Poverty Initiative Scholar-in-Residence, Kairos Center.",,,singham-spine,1
belen,Matthew Matt Belen,person,party,,4,,https://www.imdb.com/name/nm11709082/,Network member; Member of foreign influence network.,,,singham-spine,1
bello,Walden Bello,person,party,,2,,https://keywiki.org/Rosa_Luxemburg_Stiftung,Progressive International Council member; featured at 'Bello on the BRICS' RLS-NYC event (Apr 2015),,Philippines,rls-germany,1
ben_becker,Ben Becker,person,party,,2,,https://www.liberationnews.org/05-09-01-psl-delegates-to-caracas-world-y-html | https://www.influencewatch.org/non-profit/breakthrough-news-btn/,"PSL Central Committee; BreakThrough News EIC (Singham-funded); m. Karina Garcia || PSL; authored the 2005 report on the PSL WFYS Caracas delegation || Founding member, Central Committee member; Potential unregistered foreign agent.",,US,hatuey|latam-solidarity|singham-spine,3
benjamin,Medea Benjamin,person,context,,30,,https://en.wikipedia.org/wiki/Medea_Benjamin,CODEPINK co-founder; president/Treasurer of Arc of Justice (fka Benjamin Fund) || Co-founder; org(s): Code Pink; §VII || Co-founder; Potential unregistered foreign agent.,,,iran-network|rubio-cuba|singham-spine,3
bertoldi,Manuel Bertoldi,person,state,,,,https://breakthroughnews.org/2020/08/28/why-us-political-scientists-are-arguing-that-evo-morales-should-be-the-president-of-bolivia/,ALBA Movimientos + IPA coordinator — personnel bridge,,Argentina,latam-solidarity,1
bounds,Tajee Bounds,person,party,,4,,https://peoplesforum.org/about/staff/,Executive Director; Potential unregistered foreign agent.,,,singham-spine,1
bournous,Yiannis Bournous,person,party,,2,,https://keywiki.org/Rosa_Luxemburg_Stiftung,SYRIZA International Relations head (Greece); member of the Mar 2018 CPC-summit delegation,,Greece,rls-germany,1
brease,Emily Brease,person,party,,6,,https://example.com/source-needed,Co-founder; Connected to Chinese Communist Party operations.,,,singham-spine,1
brecht_forum,Brecht Forum,org,veneer,,,,https://keywiki.org/Rosa_Luxemburg_Stiftung,NYC left cultural institution; Kazembe Balagun (RLS-NYC) was formerly its Education/Outreach Coordinator,,US,rls-germany,1
brian_becker,Brian Becker,person,party,,3,,https://www.influencewatch.org/person/brian-becker/,ANSWER National Coordinator; PSL co-founder; People's Forum instructor || Co-founder; Connected to Chinese Communist Party operations.,,,hatuey|singham-spine,2
btm,BreakThrough News,org,money,,,84-5071181,,,,,singham-spine,1
bugni,Renata Porto Bugni,person,money,,5,,https://example.com/source-needed,Led CoronaShock and Patriarchy study; interviewed MST leader Neuri Rossetto; Involved in genocide denial activities.,,,singham-spine,1
burke,Tom Burke,person,party,,,,https://fightbacknews.org/2019/7/23/frso-sends-delegation-sao-paolo-forum,FRSO Organization Secretary; led FSP 2019 Caracas delegation,,US,latam-solidarity,1
c3misc,Affiliated 501(c)(3),org,money,,,87-2461683,,,,,singham-spine,1
camacaro,William Camacaro,person,veneer,,,,https://afgj.org/communique-august-2-2024-alliance-for-global-justice-delegation-demands-respect-for-venezuelas-democracy-in-light-of-july-28-elections,AFGJ media contact; 2024 VZ delegation,,US,latam-solidarity,1
caruso,Christopher Chris Caruso,person,party,,6,,https://www.democracyatwork.info/acc_social_media_and_internet_pt2,Curriculum Developer; Potential unregistered foreign agent.,,,singham-spine,1
ccr,Center for Constitutional Rights,org,money,,18,,https://projects.propublica.org/nonprofits/organizations/841618483,"Received $400,000 from AoJ ($200,000 FY2020 + $200,000 FY2022) per 990-PF Schedule I, verified against grants.duckdb pf_grants (filer_ein 841618483). CCR's own EIN not independently confirmed in this corpus.",,,iran-network,1
cea_weaver,Cea Weaver,person,veneer,,2,,https://rosalux.nyc/100-days-of-mayor-mamdani-promising-progress/,"Multi-year RLS-NYC collaborator; NYC-DSA housing lead -> Mamdani admin (Mayor's Office to Protect Tenants, 2025)",,,rls-germany,1
chak,Tings Chak,person,party,,6,,https://tsinghua.academia.edu/TingsChak,Co-founder; Involved in genocide denial activities.,,,singham-spine,1
chanoine,Claudette Chanoine,person,money,,1,,https://www.grantmakers.io/profiles/v0/453658022-rosa-luxemburg-stiftung-inc/,"Financial Manager, RLS-NYC (2013-present); longest-serving staff — operational continuity across all directors",,,rls-germany,1
china,China (PRC),concept,state,,49,,,China — foreign-state tie hub,,China,singham-spine,1
chua,Heidi Chua,person,money,,2,,https://keywiki.org/Heidi_Easton_Chua_Schwa,Office Manager RLS-NYC FY2013-2018 (~$60K/yr) -> DSA Assistant to National Director Jan 2019+; active DSA member while on RLS payroll,,,rls-germany,1
chung,David Sung Mo Chung,person,party,,3,,https://peoplesforum.org/about/staff/,Executive Director; Potential unregistered foreign agent.,,,singham-spine,1
clarkgollub,Jill Clark-Gollub,person,veneer,,,,https://afgj.org/communique-august-2-2024-alliance-for-global-justice-delegation-demands-respect-for-venezuelas-democracy-in-light-of-july-28-elections,AFGJ delegate; Americas Without Sanctions; 2024 VZ delegation,,US,latam-solidarity,1
codepink,CODEPINK,org,context,,32,26-2823386,https://en.wikipedia.org/wiki/Code_Pink | https://en.wikipedia.org/wiki/CODEPINK,US antiwar org co-founded by Benjamin; led multiple Iran delegations || Women-for-Peace; IPA member; VZ solidarity brigades (2023/2026) || us_501c3_active; report §VII. NNOC member (formal coalition member; roster-verified),codepink.png,US,iran-network|latam-solidarity|rubio-cuba|singham-spine,4
conway,Marshall Eddie Conway,person,party,,3,,https://en.wikipedia.org/wiki/Eddie_Conway,Co-founder; Member of foreign influence network.,,,singham-spine,1
cook,Claire Cook,person,party,,4,,https://www.adl.org/resources/backgrounder/party-socialism-and-liberation-psl,Organizer (as of 2025); Member of foreign influence network.,,,singham-spine,1
cpc,Congressional Progressive Caucus,org,veneer,demsoc,,,https://keywiki.org/Rosa_Luxemburg_Stiftung,"US congressional caucus; hosted the Mar 2018 summit where an RLS-NYC-organized European-left delegation met Warren, Pelosi, Jayapal et al.",,US,rls-germany,1
craig,Hannah Priscilla Craig,person,party,,4,,https://peoplesforum.org/about/staff/,"Art, Culture and Communications Director; Member of foreign influence network.",,,singham-spine,1
croce,STEIN-DELLA CROCE,person,party,,4,,https://thetricontinental.org/team/,"English-language editing, translations, and publications management for Tricontinental (Source); Involved in genocide denial activities.",,,singham-spine,1
cuba,Cuba,concept,state,,12,,,Cuba — foreign-state tie hub,,Cuba,singham-spine,1
cultureproject,Culture Project,org,veneer,,,13-3898892,,,,,singham-spine,1
dagdelen,Sevim Dagdelen,person,party,,2,,https://keywiki.org/Rosa_Luxemburg_Stiftung,Die Linke deputy chair / Bundestag; in the RLS-NYC-organized delegation that met US members of Congress,,Germany,rls-germany,1
danaher,Maya (Mandela) Danaher,person,money,,16,,https://projects.propublica.org/nonprofits/organizations/841618483,"Treasurer, Arc of Justice / Benjamin Fund, all filing years (990-PF). Medea Benjamin's daughter. JD NYU Law 2018; Associate General Counsel, Citadel LLC (2025-present).",,,iran-network,1
deborah_benjamin,Deborah Coyle Benjamin,person,money,,16,,https://www.benjamindevco.com/executives.html,Alvin Benjamin's second wife (m. ~2000); President of The Benjamin Companies since 2012. Not an AoJ officer. Named co-defendant with the Benjamin Fund in Unger v. Coyle (2014-2016) inheritance litigation.,,,iran-network,1
delacruz,Claudia De la Cruz,person,party,,2,,https://www.influencewatch.org/non-profit/the-peoples-forum/|https://en.wikipedia.org/wiki/Claudia_de_la_Cruz|https://en.wikipedia.org/wiki/Claudia_De_la_Cruz,"People's Forum co-founder & co-Exec Director; PSL 2024 presidential nominee || People's Forum co-ED; PSL 2024 presidential candidate; IPA Caracas 2019 || Co-founder/Co-ED (People's Forum); ED (IFCO/Pastors for Peac; org(s): People's Forum, IFCO/Pastors for Peace, Code Pink, PSL; §VII || Co-Founder, Co-Executive Director (2018-2024), Board Member (2024-present); Connected to Chinese Communist Party operations.",,US,hatuey|latam-solidarity|rubio-cuba|singham-spine,4
delossantos,Manolo de los Santos,person,party,,1,,https://therealnews.com/international-election-observers-and-journalists-contest-claims-of-venezuela-election-fraud | https://peoplesforum.org/about/staff/ | https://www.yahoo.com/news/manolo-los-santos-leader-hamas-205656272.html,People's Forum co-founder / executive director || People's Forum co-ED; described as VZ 2024 'election monitor' (unverified-verbatim) || Co-founder/director; org(s): People's Forum; §VII || Executive Director; Involved in genocide denial activities.,,US,hatuey|latam-solidarity|rubio-cuba|singham-spine,4
die_linke,Die Linke,org,party,demsoc,,,https://en.wikipedia.org/wiki/Die_Linke,The Left Party (Germany); RLS is its affiliated foundation; former MPs run RLS-NYC,dielinke.png,Germany,rls-germany,1
dpaul,David Paul,person,veneer,,,,https://www.venezuelasolidaritynetwork.org/01282025,Sanctions Kill Coalition / Task Force on the Americas / DSA / Embassy Protection Collective; Jan 2025 Caracas anti-fascist festival delegate,,US,latam-solidarity,1
dsa,Democratic Socialists of America,org,veneer,demsoc,22.2,13-3109557,https://www.dsausa.org/|https://en.wikipedia.org/wiki/Democratic_Socialists_of_America,"Via International Committee: credentialed VZ 'observers' 2021 & 2024 || US 501(c)(4); recipient of RLS-NYC training funding, personnel, strategic publications & joint polling || us_501c3_active; report §V-VI, VII. NNOC member (formal coalition member; roster-verified)",dsa.png,US,latam-solidarity|rls-germany|rubio-cuba,3
dsa_fund,DSA Fund,org,veneer,demsoc,,,https://rosalux.nyc/new-poll-democratic-socialism-is-now-mainstream/,DSA's 501(c)(3) educational affiliate; co-commissioned the Nov 2025 poll with Jacobin + RLS-NYC,,US,rls-germany,1
duhalde,David Duhalde,person,veneer,,3,,https://rosalux.nyc/the-long-reroute/,DSA Fund chair; former DSA Deputy Director; RLS-NYC-commissioned author of 'The Long Reroute' (2025 DSA convention prep),,,rls-germany,1
dwilliams,David Williams,person,money,,1,,https://rosalux.nyc/about/,"Director, International Climate Justice Program, RLS-NYC; covered 2025 DSA Convention for rosalux.nyc",,,rls-germany,1
earle,Ethan Earle,person,money,,4,,https://ethanearle.info/curriculum-vitae/,Project Manager RLS-NYC 2012-2019; concurrently DSA International Committee co-chair; PEL North America WG; O4P coordinator,,,rls-germany,1
ehmsen,Stefanie Ehmsen,person,money,,1,,https://rosalux.nyc/about/,Co-ED RLS-NYC (2013-2018); rotated from RLS Berlin executive board,,,rls-germany,1
enkelmann,Dagmar Enkelmann,person,state,,1,,https://en.wikipedia.org/wiki/Rosa_Luxemburg_Foundation,"Chair, Rosa-Luxemburg-Stiftung e.V. (Berlin parent)",,Germany,rls-germany,1
ensler,Eve Ensler,person,party,,4,,https://en.wikipedia.org/wiki/Eve_Ensler,"Founder, President & Artistic Director of V-Day (per V-Day's most recent Form 990 and website).",,,singham-spine,1
estrada,Paola Estrada,person,state,,,,https://breakthroughnews.org/2020/03/19/imf-refuses-aid-to-venezuela-in-the-midst-of-the-coronavirus-crisis/,ALBA Movimientos (Brazil) + IPA Secretariat — personnel bridge,,Brazil,latam-solidarity,1
ev_antifa_festival_2025,International Anti-Fascist Festival (Caracas Jan 9-11 2025),concept,state,,,,https://orinocotribune.com/international-anti-fascist-festival-in-venezuela-ends-with-resolution-on-global-fight-against-fascism/,"2,000 delegates / 125 countries; parallel to Maduro inauguration",,Venezuela,latam-solidarity,1
ev_caracas_antifa_2024,Antifascist Congress of Caracas (Nov 28 2024),concept,state,,,,https://www.internacionalantifascista.org/antifascist-statement-of-caracas/,"1,100 delegates / 76 countries; Maduro credited; Caracas ""Executive Secretariat"". No public US roster.",,Venezuela,latam-solidarity,1
ev_fsp_caracas_2019,25th Foro de São Paulo (Caracas 2019),concept,state,,,,https://forodesaopaulo.org/memoria-del-xxv-encuentro-del-foro-de-sao-paulo-25-al-28-de-julio-de-2019-caracas-venezuela/,Maduro + Díaz-Canel spoke; FRSO delegation attended,,Venezuela,latam-solidarity,1
ev_ipa_founding_2019,IPA Founding Assembly (Caracas Feb 2019),concept,state,,,,https://breakthroughnews.org/2019/07/20/the-year-in-review-a-look-at-our-coverage/,"500 attendees / 87 countries; ""Dilemmas of Humanity"" process",,Venezuela,latam-solidarity,1
ev_maduro_inaug_2025,Maduro 3rd Inauguration (Jan 10 2025),concept,state,,,,https://en.wikipedia.org/wiki/Third_inauguration_of_Nicol%C3%A1s_Maduro,Only sitting presidents present: Díaz-Canel + Ortega. US sent NO delegation.,,Venezuela,latam-solidarity,1
ev_nica_delegation_2021,AFGJ Intl Delegation to Nicaragua (Jul 2021),concept,state,,,,https://afgj.org/statement-of-the-international-delegation-to-nicaragua-july-18-25-2021,AFGJ + ANSWER + Black Alliance for Peace; endorsed pre-election Sandinista govt,,Nicaragua,latam-solidarity,1
ev_nica_election_2021,Nicaragua General Election (Nov 2021),concept,state,,,,https://www.influencewatch.org/non-profit/alliance-for-global-justice/,"Ortega re-election; no independent observers permitted; AFGJ ""declared full confidence""",,Nicaragua,latam-solidarity,1
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),concept,state,,,,https://en.wikipedia.org/wiki/2024_Venezuelan_presidential_election,"Target of US-left ""international accompaniment"" (CNE-organized, ~900 from 100+ countries)",,Venezuela,latam-solidarity,1
ev_wfys_2005,16th World Festival of Youth & Students (Caracas 2005),concept,state,,,,https://www.liberationnews.org/05-09-01-psl-delegates-to-caracas-world-y-html,"Caracas Aug 2005; ~15,000 youth / 144 countries; 700 US delegates",,Venezuela,latam-solidarity,1
evans,Jodie Evans,person,money,,24,,https://projects.propublica.org/nonprofits/organizations/262823386|https://en.wikipedia.org/wiki/Jodie_Evans|https://www.facebook.com/jodie.evans.169/,"Co-founder CODEPINK (Nov 2002); President per 990 officer data 2019-2022. Also President, People's Support Foundation (Singham vehicle, EIN 82-1202926). Married Neville Roy Singham 2017. || Co-founder; Singham spouse; org(s): Code Pink, People's Forum, (Singham); §VII || Co-founder (2002), Board of Directors; Potential unregistered foreign agent.",,,iran-network|rubio-cuba|singham-spine,3
fars_news,Fars News Agency,org,state,state,,,https://www.nejatngo.org/en/posts/9569,Iranian state-controlled outlet; press conference held at its College of Journalism,,Iran,iran-network,1
fernandes,Marco Fernandes,person,party,,6,,https://valdaiclub.com/about/experts/28895/,"Marco Fernandes is a researcher at Tricontinental: Institute for Social Research, co-founder/co-editor of Dongsheng (News on China), member of the No Cold War campaign, and Brazilian representative to the BRICS Civil Council (per Valdai Club bio). Drop the unsourced ""potential unregistered foreign agent"" label — no source states or evidences FARA-registrable conduct.",,,singham-spine,1
fes,Friedrich Ebert Stiftung Inc (FES),org,money,,,13-3173769,"https://www.causeiq.com/organizations/friedrich-ebert-stiftung,133173769/",SPD-affiliated; ~$1.23M FY2024; transatlantic policy/labor,,Germany,rls-germany,1
fns,Friedrich Naumann Foundation (FNS),org,money,,,,https://en.wikipedia.org/wiki/Political_foundation_in_Germany,"FDP-affiliated; trade/free markets; HAS a US 501(c)(3) presence — Friedrich Naumann Foundation North America (EIN 52-1758591, Washington DC), running Transatlantic Dialogue and World Order/Globalization Hub programs; activity is dialogue/conferences/study tours.",,Germany,rls-germany,1
friendsatc,Friends of the ATC,org,party,,,,https://afgj.org/friends-of-the-atc-delegation-announcement,AFGJ/Nicaragua Network project; runs delegations to the Sandinista ATC,,US,latam-solidarity,1
frso,Freedom Road Socialist Organization,org,party,ml,,,https://fightbacknews.org/,US M-L org; FSP + Maduro-recognized delegations,,US,latam-solidarity,1
fsln,FSLN — Sandinista National Liberation Front,org,state,state,,,https://en.wikipedia.org/wiki/Sandinista_National_Liberation_Front,"Nicaragua ruling party || Nicaragua's governing party (canonical, = latam slice). Report §I-III cites its 1979 armed origins & Cuban patronage; typed as governing party/state, NOT a designated FTO.",fsln.png,Nicaragua,latam-solidarity|rubio-cuba,2
fsp,Foro de São Paulo,concept,state,,,,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo_Forum,Hemispheric left-party forum (1990); 25th Encuentro Caracas 2019,,Brazil,latam-solidarity,1
garcia,Karina Garcia,person,party,,1,,https://www.liberationatl.org/events/meet-psl-vice-presidential-candidate-karina-garcia,PSL 2024 VP nominee; Central Committee || Executive Director; Connected to Chinese Communist Party operations.,,,hatuey|singham-spine,2
gbi,General Baker Institute,org,party,,,81-1174658,,,,,singham-spine,1
german_gov,German Federal Government,concept,state,,,,https://en.wikipedia.org/wiki/Political_foundation_in_Germany,Bundestag appropriation; EUR 697M/yr (2023) to all 6 party foundations via 5 ministries; funding formula keyed to party electoral results,,Germany,rls-germany,1
ghost_officers,Ghost Officers (5 unidentified signers),concept,money,,16,,https://projects.propublica.org/nonprofits/organizations/841618483,"Form 990-PF signature blocks for Arc of Justice (fka The Benjamin Fund, EIN 84-1618483) FY2006-2012 were signed by individuals who do not match the officers formally listed in Part VIII (Medea Susan Benjamin-President, Kirsten Irgens-Moller-Secretary, Kevin Danaher-Treasurer), using informal titles ('Exec. Director,' 'Secy Bd of Director') not found in Part VIII (distinct signer names/initials appear on the FY2006, 2007, 2008, 2009, 2010, and 2012 returns). The pattern ends by FY2014, when Medea Susan Benjamin appears as the return's named President alongside Maya Danaher (Treasurer) and Arlen Gomez (Secretary).",,,iran-network,1
global_exchange,Global Exchange,org,money,,24,94-3066686,https://projects.propublica.org/nonprofits/organizations/943066686|https://globalexchange.org/,"Co-founded 1988 by Benjamin, Danaher, Irgens-Moller. AoJ's largest grantee pre-2015 era ($60K-$405K/yr) while Irgens-Moller simultaneously ran GE and administered AoJ. || us_501c3_active; report §VII. NNOC member (formal coalition member; roster-verified)",,,iran-network|rubio-cuba,2
gonzales,Kate Gonzales,person,party,,4,,https://peoplesforum.org/about/staff/,Executive Director; Potential unregistered foreign agent.,,,singham-spine,1
goodwin,Alicia Thilani Singham Goodwin,person,party,,3,,https://news.mit.edu/2014/nine-mit-students-and-alumni-win-fulbright-grants,Organizer 'for the past decade' (reported July 2025); Connected to Chinese Communist Party operations.,,,singham-spine,1
grassroots_intl,Grassroots International,org,money,,28,04-2791159,https://projects.propublica.org/nonprofits/organizations/042791159,"Boston-based re-granter; confirmed Arc of Justice (Medea Benjamin's foundation, funds CODEPINK/AFGJ) grantee with at least $750K documented ($250K in 2020, $500K in 2022, both 'general support'), among AoJ's largest grantees per Candid/990-PF data. Re-grants to Palestine, Honduras (COPINH, OFRANEH), Puerto Rico, Haiti, Brazil, and Mesoamerica movements.",,,iran-network,1
grenyion,Kristen Grenyion,person,party,,4,,https://web.archive.org/web/20230808055155/https://www.oneloveunionjodieandroy.com/,Event logistics coordinator; Connected to Chinese Communist Party operations.,,,singham-spine,1
gunther,Andreas Günther,person,money,,2,,https://rosalux.nyc/about/,"Head of Office, RLS-NYC (2018–2024); former Director of International Policy, Die Linke",,,rls-germany,1
hamby,Ryan Hamby,person,party,,4,,https://peoplesforum.org/about/staff/,"General Manager, People's Forum (per FY2024 IRS Form 990).",,,singham-spine,1
harris,Roger D. Harris,person,veneer,,,,https://consortiumnews.com/2024/07/30/venezuela-as-us-leaders-call-fraud-us-observers-endorse-results/,Task Force on the Americas / US Peace Council; VZ 2024 election accompanier (Miranda),,US,latam-solidarity,1
hatuey,The Hatuey Project,project,center,,,,https://www.hatueyproject.org/,"Founded Apr 2022; Cuba ""medical aid""; no independent EIN; coordinator Gloria La Riva",hatuey.png,,hatuey,1
hbs,Heinrich Boell Foundation (HBS),org,money,,,52-2168529,https://us.boell.org/en/who-we-are,Greens-affiliated; ~$1.78M FY2024; climate/democracy/gender,,Germany,rls-germany,1
henderson,Rita Henderson,person,party,,4,,https://newlinesmag.com/reportage/the-big-business-of-uyghur-genocide-denial/,Operations Manager (2019-2021); Involved in genocide denial activities.,,,singham-spine,1
hispantv,HispanTV,org,state,state,,,https://www.algemeiner.com/2023/10/31/hispantv-is-irans-propaganda-arm-in-latin-america-why-is-it-still-being-broadcast/,"Spanish-language IRIB outlet, OFAC-sanctioned alongside Press TV",,Iran,iran-network,1
hoyt,Katherine Hoyt,person,veneer,,,,https://afgj.org/about/board-of-directors,AFGJ National Co-Coordinator 2003-2016; board; ex-Sandinista govt translator,,US,latam-solidarity,1
hrizi,Nathalie Patricia Hrizi,person,party,,4,,https://www.ussearch.com/people-search/nathalie-hrizi/,Oversees SFUSD substitute teacher pool (reduced from 500+ to ~200 during pandemic) [Source: https://www.kqed.org/news/11898251/i-learned-nothing-for-three-weeks-bay-area-sub-shortage-leaves-students-h; Member of foreign influence network.,,,singham-spine,1
hss,Hanns Seidel Foundation USA (HSS),org,money,,,51-0635136,"https://www.causeiq.com/organizations/hanns-seidel-foundation-usa,510635136/",CSU-affiliated; security/dialogue,,Germany,rls-germany,1
hu,Rachel Hu,person,money,,6,,https://www.linkedin.com/in/rachel-hu-5b707a22a/,National organizer and educator on 'radical organizing in the Asian American community' [Source: https://www.liberationschool.org/class-the-legacy-of-asian-american-struggle/]; Connected to Chinese Communist Party operations.,,,singham-spine,1
hub_andira_alves,Andira Alves,person,party,,3,,https://www.hatueyproject.org/,Interlock hub — cited in 3 AFGJ-project people's bios,,,afgj-interlock,1
hub_assata_shakur,Assata Shakur,person,party,,2,,https://www.citybureau.org/stories/2018/3/1/who-are-assatas-daughters-a-qa-with-founder-page-may|https://thetriibe.com/2025/12/assata-shakur-an-enduring-legacy-that-serves-as-the-blueprint-for-black-liberation/|https://en.wikipedia.org/wiki/Assata_Shakur,"Interlock hub — cited in 2 AFGJ-project people's bios || BLA member; Cuba fugitive; org(s): Black Liberation Army, Assata's Daughters (namesake); §V-VI, VII",,Cuba,afgj-interlock|rubio-cuba,2
hub_autonomous_tenants_union,Autonomous Tenants Union,org,party,,2,,https://www.influencewatch.org/organization/chicago-housing-justice-league-chjl/,Interlock hub — cited in 2 AFGJ-project people's bios,,,afgj-interlock,1
hub_communities_united,Communities United,org,party,,2,,https://lcbh.org/lcbh-helps-save-the-kcro/|https://www.influencewatch.org/organization/chicago-housing-justice-league-chjl/,Interlock hub — cited in 2 AFGJ-project people's bios,,,afgj-interlock,1
hub_dead_prez,Dead Prez,org,party,,2,,https://www.berklee.edu/people/tef-poe|https://www.youthvsapocalypse.org/our-board,Interlock hub — cited in 2 AFGJ-project people's bios,,,afgj-interlock,1
hub_dream_defenders,Dream Defenders,org,party,panafrican,2,,https://colorlines.com/articles/michael-brown-one-year-later|https://www.berklee.edu/people/tef-poe,Interlock hub — cited in 2 AFGJ-project people's bios,,,afgj-interlock,1
hub_green_party,Green Party,org,party,,2,,https://www.gp.org/2018_sc_elections|https://www.economichumanrights.org/speaking-engagements/,Interlock hub — cited in 2 AFGJ-project people's bios,,,afgj-interlock,1
hub_green_shadow_cabinet,Green Shadow Cabinet,org,party,,2,,https://www.gp.org/2018_sc_elections|https://en.wikipedia.org/wiki/Kevin_Zeese,Interlock hub — cited in 2 AFGJ-project people's bios,,,afgj-interlock,1
hub_hugo_chavez,Hugo Chavez,person,party,,2,,https://findingaids.library.nyu.edu/tamwag/tam_715/|https://cindysheehanssoapbox.blogspot.com/2018/02/?m=0,Interlock hub — cited in 2 AFGJ-project people's bios,,Venezuela,afgj-interlock,1
hub_ifnotnow,IfNotNow,org,party,,2,,https://www.laprogressive.com/author/mnovick|https://www.commondreams.org/news/2020/03/24/because-anne-frank-did-not-die-gas-chamber-jewish-activists-cite-disease-nazi-death,Interlock hub — cited in 2 AFGJ-project people's bios,,,afgj-interlock,1
hub_lawyers_better_housing,Lawyers’ Committee for Better Housing,org,party,,2,,https://www.influencewatch.org/organization/chicago-housing-justice-league-chjl/,Interlock hub — cited in 2 AFGJ-project people's bios,,,afgj-interlock,1
