source,target,relation,layer,confidence,directed,label,source_url,slices,evidence,receipt
afgj,p_african_awareness_association,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Travel),https://web.archive.org/web/20250118162817/https://www.aaa-cubatours.com/|https://afgj.org/sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_alianza_ind_gena_sin_fronteras_indigen,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Immigration),https://ushrnetwork.org/news/120/100/Indigenous-Alliance-Without-Borders-Releases-Handbook-on-Indigenous-Peoples-Border-Crossing-Rights|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_amigos_de_la_playa,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Environmental),https://www.facebook.com/AmigosDeLaPlayaOmetepe#|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_arizona_educators_united,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Education),https://psuaaup.net/blog/entry/inspired-by-west-virginia-teachers-spread-red-for-ed-movement-across-arizona|https://www.influencewatch.org/organization/arizona-educators-united-aeu/|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_arizona_palestine_solidarity_alliance,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Collective),https://www.arizonapalestine.org/about.html|https://www.influencewatch.org/organization/arizona-palestine-solidarity-alliance/|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_asotrecol,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Union),https://www.dol.gov/newsroom/releases/ilab/ilab20120824|https://www.influencewatch.org/labor-union/association-of-injured-workers-and-ex-workers-of-general-motors-colmotores-asotrecol/|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://automotiveworkers.org/en/2026/q1/call-for-support-to-the-injured-colombian-general-motors-workers-of-asotrecol|https://truthout.org/articles/detroit-and-colombia-our-struggles-are-tied-together/|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_assata_s_daughters,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Training),https://www.assatasdaughters.org/homie|https://www.influencewatch.org/organization/assatas-daughters/|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.assatasdaughters.org/|https://www.wbez.org/stories/after-fire-south-side-group-assatas-daughters-seeks-new-headquarters/92c1680b-3ac4-4d06-8dfe-bf204b3a5ca6|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_az_jobs_with_justice,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Union),https://www.jwj.org/|https://www.influencewatch.org/organization/arizona-jobs-with-justice/|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_beef_relief,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Food Bank),http://beefrelief.org/|https://www.influencewatch.org/organization/beef-relief/?utm_source=chatgpt.com|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_black_and_pink_ma,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Activism),https://www.influencewatch.org/organization/black-and-pink-ma/ | https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects | https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,The group was fiscally sponsored by the Alliance for Global Justice after it ceased being a formal affiliated chapter of the Black and Pink national organization.,
afgj,p_black_lives_matter_oklahoma_city,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Activism),https://www.blmokc.com/|https://www.influencewatch.org/organization/black-lives-matter-oklahoma-city/|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_black_lives_matter_tucson,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Activism),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_black_movement_law_project,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Legal),https://www.influencewatch.org/organization/black-movement-law-project/|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_black_trans_media,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Art),https://www.influencewatch.org/non-profit/black-trans-media/|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_black_trans_travel_fund,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Travel),https://www.blacktranstravelfund.com/|https://www.influencewatch.org/for-profit/the-black-trans-travel-fund/|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_bukit_bail_fund_of_pittsburgh,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Bail),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_bv_solidarity_project,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Activism),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://iacenter.org/2019/11/01/the-venceremos-brigade-50-years-of-solidarity-with-cuba/|https://www.foxnews.com/politics/inside-cubas-foreign-influence-campaign-from-venceremos-brigade-1960s-saturday-union-hall|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_camino_com_n,fiscal_sponsor,money,confirmed,yes,fiscal sponsor,https://afgj.org/a-visit-inside-colombias-most-notorious-prison-la-tramacua|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_central_ohio_freedom_fund,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Bail),https://www.facebook.com/COFF614/|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_centro_de_derechos_humanos_del_pac_fic,fiscal_sponsor,money,confirmed,yes,fiscal sponsor,https://afgj.org/death-squad-threatens-wayuu-womens-force-in-la-guajira-colombia | https://keywiki.org/Raquel_Mogollon | https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects | https://afgj.org/human-rights-defender-and-afgj-associate-threatened-in-colombia | https://afgj.salsalabs.org/centropacifico/index.html | https://www.influencewatch.org/organization/alliance-for-global-justice/ | https://afgj.org/centro-pazfiico-2024-report,afgj-projects,"Your donation is tax deductible through our fiscal sponsor, the Alliance for Global Justice.",
afgj,p_centro_solidario_de_puerto_rico,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Collective),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_change_links_newspaper,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Media),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_chicago_housing_initiative,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Housing),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_chicago_housing_justice_league,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Housing),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_chico_mendes_reforestation_project,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Environmental),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_cindy_sheehan_s_soapbox,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Media/Activism),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects | https://www.nbcnews.com/id/wbna10704025 | https://afgj.salsalabs.org/cindysheehan/index.html | https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,Thank You for you Donation to Cindy Sheehan's Soapbox!,
afgj,p_clean_up_the_mines,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Environmental),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_coalition_of_women_for_peace,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Peace/Activism),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://ngo-monitor.org/ngos/coalition_of_women_for_peace/|https://www.influencewatch.org/non-profit/coalition-of-women-for-peace/|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_colorado_freedom_fund,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Bail),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_community_action_relief_project,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Mutual Aid),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_corporate_genome_project,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Research),https://www.corporategenomeproject.org/|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_creating_a_more_beloved_community_film,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Education/Media),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_denver_justice_project,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Criminal Justice),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_erie_bail_fund,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Bail),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_eritye_papa_desalin,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Activism),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_free_mumia_abu_jamal_coalition,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Legal/Activism),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects | https://afgj.salsalabs.org/freemumia/index.html | https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,"Free Mumia Abu-Jamal Coalition (NYC) organize for the freedom of Mumia Abu-Jamal based on the overwhelming evidence of his innocence. ... You will receive an email receipt from our fiscal sponsor, Alliance for Global Justice.",
afgj,p_friends_of_asociaci_n_de_trabajadores_,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Labor/Solidarity),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_friends_of_gente_de_i_itoi_a_c,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Indigenous),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_friends_of_mujeres_de_la_tierra,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Women/Environmental),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_gno_interfaith_sanctuary_coalition,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Immigration),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_good_shepherd_collective,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Immigration/Humanitarian),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_hampshire_college_legal_support_fund,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Legal),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_hands_up_united,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Activism),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_honduras_solidarity_network,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (International Solidarity),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.hondurassolidarity.org|https://againstthecurrent.org/vicki-cervantes/|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_human_rights_school,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Education),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_initiative_for_equality,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Research/Advocacy),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_instituto_agroecol_gico_latinoamerican,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Agriculture/Education),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://ialamesoamerica.wordpress.com/what-is-iala-mesoamerica/|https://afgj.org/nicanotes-sandino-vive-friends-of-the-atc-delegation-to-nicaragua-feb-13-23-2020|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_international_indigenous_initiative_fo,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Indigenous),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_international_journal_of_foreign_langu,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Academic),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_international_people_s_tribunal,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Legal/Advocacy),https://sanctionstribunal.org|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://samidoun.net/2023/01/28-january-public-launch-of-the-international-peoples-tribunal-on-u-s-imperialism-sanctions-blockades-and-economic-coercive-measures/|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_interoccupy,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Activism),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_irish_diaspora_decolonization_alliance,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Activism),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_just_info,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Legal),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_justice_for_all_coalition,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Activism),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_juthour_arboretum,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Environmental/Cultural),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_kevin_zeese_emerging_activists_fund,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Funding),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://popularresistance.org/kevin-zeese/|https://www.influencewatch.org/organization/kevin-zeese-emerging-activists-fund/|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_kindred_connections,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (LGBTQ),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_la_colectiva,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Immigration),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_labor_against_racism_and_war,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Labor/Activism),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.answercoalition.org/national_action_us_troops_out_of_iraq|https://www.influencewatch.org/non-profit/us-labor-against-the-war/|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_lancaster_bail_fund,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Bail),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_legal_defense_for_palestine,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Legal),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_lgbt_freedom_and_asylum_network,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Immigration/LGBTQ),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_lgbt_voice_tanzania,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (LGBTQ),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_lo_eterno_media_collective,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Media/Arts),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_los_angeles_community_action_network,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Protest Organization),https://keywiki.org/Lee_Siu_Hin|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_lupinewood,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Environmental/Community),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_march_4_racial_justice,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Activism),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_march_4_racial_justice_ny,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Activism),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_miracle_for_mikeals_legacy_foundation,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Health/Charity),https://www.facebook.com/MikealsMiracleDIPGCure|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_mosaic_black_trans_funding_network,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (LGBTQ/Funding),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_movement_net_lab,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Research/Technology),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
afgj,p_nappy_roots_books,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Education/Publishing),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
